"Source:","/Volumes/ADATA SD/google drive/kicad/真空管耳擴_HA-01D/vacuumTubeEarphone/vacuumTubeEarphone.sch"
"Date:","Thursday, 12 July 2018 'amt' 11:18:13"
"Tool:","Eeschema 4.0.7"
"Generator:","/Applications/Kicad/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","53"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","0.47u/100V","device:C","Capacitors_THT:C_Disc_D16.0mm_W5.0mm_P10.00mm",""
"","","C2","0.47u/100V","device:C","Capacitors_THT:C_Disc_D16.0mm_W5.0mm_P10.00mm",""
"","","C3","100u/100V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"","","C4","100u/100V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"","","C5","470u/35V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"","","C6","470u/35V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"","","C7","47u/100V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"","","C8","10u/250V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"","","CON1","15VDC Adapter","vacuumTubeEarphone-cache:BARREL_JACK","Connectors:BARREL_JACK",""
"","","D1","SHORT","device:D_ALT","",""
"","","D2","SHORT","device:D_ALT","",""
"","","D3","1N5819","device:D_ALT","",""
"","","D4","1N5819","device:D_ALT","",""
"","","D5","1N4002","device:D_ALT","",""
"","","H1","MECHANICAL_HOLE","vacuumTubeEarphone-cache:CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via",""
"","","H2","MECHANICAL_HOLE","vacuumTubeEarphone-cache:CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via",""
"","","H3","MECHANICAL_HOLE","vacuumTubeEarphone-cache:CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via",""
"","","H4","MECHANICAL_HOLE","vacuumTubeEarphone-cache:CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via",""
"","","HS1","HEATSINK","vacuumTubeEarphone-cache:HEATSINK","Heatsinks:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",""
"","","HS2","HEATSINK","vacuumTubeEarphone-cache:HEATSINK","Heatsinks:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",""
"","","HS3","HEATSINK","vacuumTubeEarphone-cache:HEATSINK","Heatsinks:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",""
"","","HS4","HEATSINK","vacuumTubeEarphone-cache:HEATSINK","Heatsinks:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",""
"","","HS5","HEATSINK","vacuumTubeEarphone-cache:HEATSINK","Heatsinks:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",""
"","","HS6","HEATSINK","vacuumTubeEarphone-cache:HEATSINK","Heatsinks:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",""
"","","J1","JACK_TRS_6PINS","vacuumTubeEarphone-cache:JACK_TRS_6PINS","Connectors:PINHEAD1-6",""
"","","J2","JACK_TRS_6PINS","vacuumTubeEarphone-cache:JACK_TRS_6PINS","Connectors:PINHEAD1-6",""
"","","J3","JACK_TRS_5PINS","vacuumTubeEarphone-cache:JACK_TRS_5PINS","JACK_TRS_5PINS",""
"","","J4","JACK_TRS_5PINS","vacuumTubeEarphone-cache:JACK_TRS_5PINS","JACK_TRS_5PINS",""
"","","Q1","IRF530","vacuumTubeEarphone-rescue:IRF540N-RESCUE-vacuumTubeEarphone","Power_Integrations:TO-220",""
"","","Q2","IRF530","vacuumTubeEarphone-rescue:IRF540N-RESCUE-vacuumTubeEarphone","Power_Integrations:TO-220",""
"","","Q3","A684","device:Q_PNP_ECB","",""
"","","R1","100k","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
"","","R2","100k","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
"","","R3","120","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
"","","R4","120","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
"","","R5","10ohm/5W","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm",""
"","","R6","10ohm/5W","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm",""
"","","R7","1k","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
"","","R8","1k","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_Universal:Resistor_SMD+THTuniversal_0805to2512_RM10_HandSoldering",""
"","","R9","8ohm/5,6ohm/5W","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm",""
"","","R10","8ohm/5,6ohm/5W","vacuumTubeEarphone-cache:R_ANSI-RESCUE-vacuumTubeEarphone","Resistors_THT:R_Axial_Power_L20.0mm_W6.4mm_P25.40mm",""
"","","R11","2k7","device:R","",""
"","","R12","330","device:R","",""
"","","R13","47k","device:R","",""
"","","SW1","SW_SPDT","switches:SW_SPDT","SW_SPDT_90",""
"","","U1","12AU7","valves:ECC83","Valves:VALVE-ECC-83-2",""
"","","U2","LM317_TO220","vacuumTubeEarphone-cache:LM317_SOT223","Power_Integrations:TO-220",""
"","","U3","LM317_TO220","vacuumTubeEarphone-cache:LM317_SOT223","Power_Integrations:TO-220",""
"","","U4","LM317_SOT223","vacuumTubeEarphone-cache:LM317_SOT223","",""
"","","U5","LM317_TO220","vacuumTubeEarphone-cache:LM317_SOT223","Power_Integrations:TO-220",""
"","","VR1","10k","vacuumTubeEarphone-cache:DUAL_POT_ANSI","Potentiometers:Potentiometer_Alps_RK163_Double_Vertical",""
"","","VR3","50k","vacuumTubeEarphone-cache:POT_ANSI","Potentiometers:Potentiometer_Bourns_3296Y_3-8Zoll_Angular_ScrewUp",""
"","","VR4","50k","vacuumTubeEarphone-cache:POT_ANSI","Potentiometers:Potentiometer_Bourns_3296Y_3-8Zoll_Angular_ScrewUp",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","2","C1, C2","0.47u/100V","device:C","Capacitors_THT:C_Disc_D16.0mm_W5.0mm_P10.00mm",""
"2","2","C3, C4","100u/100V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"3","2","C5, C6","470u/35V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"4","1","C7","47u/100V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"5","1","C8","10u/250V","device:CP1","Capacitors_THT:CP_Radial_D10.0mm_P5.00mm",""
"6","1","CON1","15VDC Adapter","vacuumTubeEarphone-cache:BARREL_JACK","Connectors:BARREL_JACK",""
"7","2","D1, D2","SHORT","device:D_ALT","",""
"8","2","D3, D4","1N5819","device:D_ALT","",""
"9","1","D5","1N4002","device:D_ALT","",""
"10","4","H1, H2, H3, H4","MECHANICAL_HOLE","vacuumTubeEarphone-cache:CONN_01X01","Mounting_Holes:MountingHole_3.2mm_M3_Pad_Via",""
"11","6","HS1, HS2, HS3, HS4, HS5, HS6","HEATSINK","vacuumTubeEarphone-cache:HEATSINK","Heatsinks:Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm",""
